"","City","Scenario","Year","PE","Median","Lower","Upper"
"268","Miami","Documented",2022,1884.83556292338,1704.23059725062,1184.56033593074,2495.57020636418
"269","Miami","Documented",2023,1705.37214414284,1564.13195292369,1043.17139344255,2364.75160450251
"270","Miami","Documented",2024,1590.46600997897,1474.75164204531,942.148377943151,2280.52488776627
"271","Miami","Documented",2025,1513.90528222722,1412.90768553547,874.910766210045,2229.0689537144
"272","Miami","Documented",2026,1461.78719647734,1372.27411750341,831.032234106993,2200.74009342967
"273","Miami","Documented",2027,1426.41022357633,1343.1597967731,793.392681509639,2176.88550970364
"274","Miami","Documented",2028,1403.04295201689,1324.96702418026,767.449626695275,2160.84065151685
"275","Miami","Documented",2029,1388.52513286454,1314.41749928972,744.839070626507,2159.41544906342
"276","Miami","Documented",2030,1457.79125237295,1375.23442723049,774.860889524957,2228.88794506785
"277","Miami","Documented",2031,1661.61519985162,1543.95560689714,861.970899185837,2413.02718194414
"278","Miami","Documented",2032,1853.09480945646,1695.60353763012,957.625453221698,2577.83759000909
"279","Miami","Documented",2033,2012.4867070483,1819.74985435882,1060.91850955912,2725.48060419795
"280","Miami","Documented",2034,2137.73273864476,1921.44885273666,1135.46818211723,2836.24151535726
"281","Miami","Documented",2035,2232.61476328661,2009.06795212183,1205.42350738735,2921.74587893958
"282","Miami","Documented",2036,2302.69428811197,2080.15018399543,1271.41271998986,2987.36700498603
"283","Miami","Documented",2037,2353.51817510198,2138.66953482356,1321.54358647033,3048.90949756167
"284","Miami","Documented",2038,2389.89846858549,2190.5104664536,1371.31287485086,3083.06872213462
"285","Miami","Documented",2039,2415.73205280647,2225.95140641646,1412.80267276701,3128.66813513022
"286","Miami","Documented",2040,2434.05816056274,2260.70525281686,1448.07358316058,3166.95208411268
"287","Miami","Ideal",2015,2558.02287690437,2058.22642034181,1694.43711018954,2589.43461362222
"288","Miami","Ideal",2016,2623.32453268583,2126.21999347269,1714.42668689141,2727.97320217636
"289","Miami","Ideal",2017,2583.85352327857,2136.60825601213,1684.41681771538,2788.15038786234
"290","Miami","Ideal",2018,2504.64770778163,2115.90525040738,1635.25688454597,2810.41123853552
"291","Miami","Ideal",2019,2444.7052246287,2096.8808776898,1592.03666232252,2841.67341172622
"292","Miami","Ideal",2020,2370.51307578513,2055.20438915808,1536.87823365116,2802.17220539085
"293","Miami","Ideal",2021,1772.40527815183,1550.50621940786,1213.20880055934,2162.24028553918
"294","Miami","Ideal",2022,1043.02672632896,966.212142500572,682.96966681847,1588.33711934284
"295","Miami","Ideal",2023,828.405749101446,779.048880470142,508.067673415502,1386.92525227491
"296","Miami","Ideal",2024,715.988578340923,677.502270809673,418.660218038687,1292.65902721299
"297","Miami","Ideal",2025,645.200669328442,612.926293645096,361.430944111896,1224.61663551222
"298","Miami","Ideal",2026,598.581858363832,570.129276658101,322.388830991521,1175.74627917271
"299","Miami","Ideal",2027,567.17891762788,540.714612299038,294.510614491745,1142.38859004405
"300","Miami","Ideal",2028,545.449929480539,518.02039913268,275.188867199824,1113.12638283295
"301","Miami","Ideal",2029,529.873681410507,502.216287077581,261.630701654208,1102.14099031327
"302","Miami","Ideal",2030,605.099865801247,579.051823291371,309.130398719706,1204.78921687335
"303","Miami","Ideal",2031,802.700545594624,762.887441043647,417.226985565133,1444.77973309592
"304","Miami","Ideal",2032,1037.47181173858,955.36764372693,525.816932556081,1674.41478421046
"305","Miami","Ideal",2033,1301.77257571535,1151.5381565203,634.845284241776,1933.40734433906
"306","Miami","Ideal",2034,1576.22500439163,1342.26756098569,748.100329271263,2156.02998589543
"307","Miami","Ideal",2035,1835.18276337091,1523.37085886449,862.138563181357,2374.44020966832
"308","Miami","Ideal",2036,2058.61811661939,1688.57478411088,958.800997711632,2564.78195368309
"309","Miami","Ideal",2037,2238.03712605146,1832.07809724759,1052.04004228587,2728.79564522235
"310","Miami","Ideal",2038,2374.64949560594,1956.20801013425,1150.50419813562,2899.90446383697
"311","Miami","Ideal",2039,2474.65431308111,2051.1765172064,1218.68121697589,3009.77287925804
"312","Miami","Ideal",2040,2545.52865041498,2132.08746972851,1286.66270050185,3092.24300557108
"313","New York City","Status Quo",2015,1820.87105059875,1865.78167610073,1633.37506077464,2257.09779066013
"314","New York City","Status Quo",2016,1685.37401353422,1734.21133837203,1485.04460647733,2144.04653180674
"315","New York City","Status Quo",2017,1546.68806801631,1603.74866331237,1327.36718682864,2025.79349766952
"316","New York City","Status Quo",2018,1436.42149046084,1496.75020687372,1194.96183776137,1925.74050243058
"317","New York City","Status Quo",2019,1358.00651236683,1419.30921468585,1096.46222797932,1855.31232573245
"318","New York City","Status Quo",2020,1299.74570132379,1361.72278197769,1032.08461011508,1805.21911307256
"319","New York City","Status Quo",2021,1254.81090408237,1316.98964033684,981.894133149455,1761.95064095309
"320","New York City","Status Quo",2022,1218.78439853836,1279.49333006434,941.13218266987,1728.33860713943
